as_of_date,ticker,net_flow_usd,aum_usd,source
2025-09-16,US_BTC_SPOT,292266165.4,153775068406.4856,SOSOVALUE
2025-09-15,US_BTC_SPOT,260017759.975,151715759624.96976,SOSOVALUE
2025-09-12,US_BTC_SPOT,642350174.92,153178171661.53403,SOSOVALUE
2025-09-11,US_BTC_SPOT,552782166.45,149643377115.06396,SOSOVALUE
2025-09-10,US_BTC_SPOT,757144698.96,147829102101.2548,SOSOVALUE
2025-09-09,US_BTC_SPOT,23054895.09499945,144300710208.72348,SOSOVALUE
2025-09-08,US_BTC_SPOT,368251608.4000006,145413877718.17383,SOSOVALUE
2025-09-05,US_BTC_SPOT,-160178187.64,144045093697.7134,SOSOVALUE
2025-09-04,US_BTC_SPOT,-227482223.02500057,142302458276.80264,SOSOVALUE
2025-09-03,US_BTC_SPOT,301324766.0,145246909238.0556,SOSOVALUE
2025-09-02,US_BTC_SPOT,332760613.6950005,143207919203.8379,SOSOVALUE
2025-08-29,US_BTC_SPOT,-126642750.72,139951410319.7346,SOSOVALUE
2025-08-28,US_BTC_SPOT,178896309.45999944,144957061783.4471,SOSOVALUE
2025-08-27,US_BTC_SPOT,81246024.75000055,144572477382.5278,SOSOVALUE
2025-08-26,US_BTC_SPOT,88204940.78000055,143148013928.66397,SOSOVALUE
2025-08-25,US_BTC_SPOT,219001445.82499945,143649686838.7546,SOSOVALUE
2025-08-22,US_BTC_SPOT,-23149183.865,150228679984.03082,SOSOVALUE
2025-08-21,US_BTC_SPOT,-194321082.13,144480589951.6842,SOSOVALUE
2025-08-20,US_BTC_SPOT,-311566483.2399994,147018061023.11005,SOSOVALUE
2025-08-19,US_BTC_SPOT,-523311423.44,146183485985.3043,SOSOVALUE
2025-08-18,US_BTC_SPOT,-121808966.70000115,150893645108.8748,SOSOVALUE
2025-08-15,US_BTC_SPOT,-14129518.99999942,151979145127.09036,SOSOVALUE
2025-08-14,US_BTC_SPOT,230933769.645,153427309849.81036,SOSOVALUE
2025-08-13,US_BTC_SPOT,86914542.82,158642617563.09344,SOSOVALUE
2025-08-12,US_BTC_SPOT,65947428.4,155016436291.02008,SOSOVALUE
2025-08-11,US_BTC_SPOT,178154998.81,154418084942.67636,SOSOVALUE
2025-08-08,US_BTC_SPOT,403881213.6,150696574346.10617,SOSOVALUE
2025-08-07,US_BTC_SPOT,280688452.31,150972175369.34372,SOSOVALUE
2025-08-06,US_BTC_SPOT,91554340.55,148504979602.18253,SOSOVALUE
2025-08-05,US_BTC_SPOT,-196178800.0,146182420154.20956,SOSOVALUE
2025-08-04,US_BTC_SPOT,-333191857.7,147955091873.60257,SOSOVALUE
2025-08-01,US_BTC_SPOT,-812246966.1,146478614045.7663,SOSOVALUE
2025-07-31,US_BTC_SPOT,-114834242.24999999,152006094351.0942,SOSOVALUE
2025-07-30,US_BTC_SPOT,47038253.4,151364851940.7497,SOSOVALUE
2025-07-29,US_BTC_SPOT,79978069.35,152710693708.33963,SOSOVALUE
2025-07-28,US_BTC_SPOT,157021242.475,153194696329.28424,SOSOVALUE
2025-07-25,US_BTC_SPOT,130692903.21,151453512032.72687,SOSOVALUE
2025-07-24,US_BTC_SPOT,226608277.85,154446380366.90463,SOSOVALUE
2025-07-23,US_BTC_SPOT,-85962758.04,153249537889.60452,SOSOVALUE
2025-07-22,US_BTC_SPOT,-67932190.885,154773271490.12796,SOSOVALUE
2025-07-21,US_BTC_SPOT,-131349096.85,151603323338.36487,SOSOVALUE
2025-07-18,US_BTC_SPOT,363454160.365,152397836177.06204,SOSOVALUE
2025-07-17,US_BTC_SPOT,522599551.795,154613938905.89328,SOSOVALUE
2025-07-16,US_BTC_SPOT,799399995.2,153761749469.09457,SOSOVALUE
2025-07-15,US_BTC_SPOT,402994856.445,149656567026.04428,SOSOVALUE
2025-07-14,US_BTC_SPOT,297396370.36,153294553338.9602,SOSOVALUE
2025-07-11,US_BTC_SPOT,1029699313.05,150599951494.06604,SOSOVALUE
2025-07-10,US_BTC_SPOT,1178827866.4,143861659016.91168,SOSOVALUE
2025-07-09,US_BTC_SPOT,218040421.155,139389264079.38605,SOSOVALUE
2025-07-08,US_BTC_SPOT,80078975.7,136749218778.97072,SOSOVALUE
2025-07-07,US_BTC_SPOT,216638681.38,135709418097.66852,SOSOVALUE
2025-07-03,US_BTC_SPOT,601937786.79,137596736310.74103,SOSOVALUE
2025-07-02,US_BTC_SPOT,407778961.955,136679368309.09264,SOSOVALUE
2025-07-01,US_BTC_SPOT,-342251387.265,131295122511.67068,SOSOVALUE
2025-06-30,US_BTC_SPOT,102139223.565,134111134008.58047,SOSOVALUE
2025-06-27,US_BTC_SPOT,501271088.185,133170224379.15028,SOSOVALUE
2025-06-26,US_BTC_SPOT,228150439.23,133531931223.5746,SOSOVALUE
2025-06-25,US_BTC_SPOT,547720695.205,133560968435.12648,SOSOVALUE
2025-06-24,US_BTC_SPOT,588547154.5349995,130282904544.40048,SOSOVALUE
2025-06-23,US_BTC_SPOT,350429240.4150005,126608323093.34816,SOSOVALUE
2025-06-20,US_BTC_SPOT,6365769.25,126537063116.9118,SOSOVALUE
2025-06-18,US_BTC_SPOT,389567193.85,127425012170.93256,SOSOVALUE
2025-06-17,US_BTC_SPOT,216483836.965,128180042489.00772,SOSOVALUE
2025-06-16,US_BTC_SPOT,412201147.275,132504330333.27292,SOSOVALUE
2025-06-13,US_BTC_SPOT,322602946.3,127870225740.01857,SOSOVALUE
2025-06-12,US_BTC_SPOT,86311350.9,130263218988.0128,SOSOVALUE
2025-06-11,US_BTC_SPOT,164565924.85,131845014214.53552,SOSOVALUE
2025-06-10,US_BTC_SPOT,431120840.62,132833153801.31432,SOSOVALUE
2025-06-09,US_BTC_SPOT,386274141.785,131061405147.388,SOSOVALUE
2025-06-06,US_BTC_SPOT,-47822507.15,125582273018.22067,SOSOVALUE
2025-06-05,US_BTC_SPOT,-278435958.87,122977906593.12712,SOSOVALUE
2025-06-04,US_BTC_SPOT,86921550.95,126665427567.15816,SOSOVALUE
2025-06-03,US_BTC_SPOT,378043221.385,128129714005.27805,SOSOVALUE
2025-06-02,US_BTC_SPOT,-267520349.93,125472400684.26201,SOSOVALUE
2025-05-30,US_BTC_SPOT,-616218414.2,126151609650.02028,SOSOVALUE
2025-05-29,US_BTC_SPOT,-358653461.615,128126617785.726,SOSOVALUE
2025-05-28,US_BTC_SPOT,432618888.28,130290489165.2126,SOSOVALUE
2025-05-27,US_BTC_SPOT,384852936.96,132894503404.93211,SOSOVALUE
2025-05-23,US_BTC_SPOT,211737424.345,131391891333.26283,SOSOVALUE
2025-05-22,US_BTC_SPOT,934742459.72,134295403454.3598,SOSOVALUE
2025-05-21,US_BTC_SPOT,608993678.8,129015028335.8834,SOSOVALUE
2025-05-20,US_BTC_SPOT,329022102.06,126795333250.27704,SOSOVALUE
