asset,ts_utc,open,high,low,close,session
BITCOIN,2025-11-01 02:01:52.384000+00:00,109717.24113095991,109717.24113095991,109717.24113095991,109717.24113095991,ASIA
BITCOIN,2025-11-01 03:00:56.113000+00:00,109737.30627746301,109737.30627746301,109737.30627746301,109737.30627746301,ASIA
BITCOIN,2025-11-01 04:02:34.311000+00:00,110082.93634309991,110082.93634309991,110082.93634309991,110082.93634309991,ASIA
BITCOIN,2025-11-01 05:06:30.222000+00:00,110129.12247259208,110129.12247259208,110129.12247259208,110129.12247259208,ASIA
BITCOIN,2025-11-01 06:01:44.553000+00:00,110124.53504506861,110124.53504506861,110124.53504506861,110124.53504506861,ASIA
BITCOIN,2025-11-01 07:01:27.560000+00:00,109931.10405282541,109931.10405282541,109931.10405282541,109931.10405282541,ASIA
BITCOIN,2025-11-01 08:01:14.797000+00:00,110017.09767500978,110017.09767500978,110017.09767500978,110017.09767500978,EUROPE
BITCOIN,2025-11-01 09:02:05.521000+00:00,110159.76614442114,110159.76614442114,110159.76614442114,110159.76614442114,EUROPE
BITCOIN,2025-11-01 10:01:14.015000+00:00,109919.60407942254,109919.60407942254,109919.60407942254,109919.60407942254,EUROPE
BITCOIN,2025-11-01 11:07:31.814000+00:00,110109.54311950356,110109.54311950356,110109.54311950356,110109.54311950356,EUROPE
BITCOIN,2025-11-01 12:01:35.785000+00:00,110082.74373849711,110082.74373849711,110082.74373849711,110082.74373849711,EUROPE
BITCOIN,2025-11-01 13:01:36.558000+00:00,109985.33850776782,109985.33850776782,109985.33850776782,109985.33850776782,EUROPE
BITCOIN,2025-11-01 14:06:34.955000+00:00,109909.42379420102,109909.42379420102,109909.42379420102,109909.42379420102,EUROPE
BITCOIN,2025-11-01 15:01:45.106000+00:00,109850.43699837709,109850.43699837709,109850.43699837709,109850.43699837709,EUROPE
BITCOIN,2025-11-01 16:02:19.121000+00:00,110123.15150840105,110123.15150840105,110123.15150840105,110123.15150840105,US
BITCOIN,2025-11-01 17:01:15.818000+00:00,110433.81730690403,110433.81730690403,110433.81730690403,110433.81730690403,US
BITCOIN,2025-11-01 18:01:22.228000+00:00,110211.91277441476,110211.91277441476,110211.91277441476,110211.91277441476,US
BITCOIN,2025-11-01 19:01:05.343000+00:00,110328.64617927653,110328.64617927653,110328.64617927653,110328.64617927653,US
BITCOIN,2025-11-01 20:01:23.421000+00:00,110277.9913786109,110277.9913786109,110277.9913786109,110277.9913786109,US
BITCOIN,2025-11-01 21:02:19.575000+00:00,110387.56264844722,110387.56264844722,110387.56264844722,110387.56264844722,US
BITCOIN,2025-11-01 22:01:43.749000+00:00,110015.89644154096,110015.89644154096,110015.89644154096,110015.89644154096,US
BITCOIN,2025-11-01 23:01:23.125000+00:00,110026.69447298996,110026.69447298996,110026.69447298996,110026.69447298996,US
BITCOIN,2025-11-02 00:02:18.020000+00:00,110066.94174051797,110066.94174051797,110066.94174051797,110066.94174051797,ASIA
BITCOIN,2025-11-02 01:01:22.452000+00:00,109932.61994701959,109932.61994701959,109932.61994701959,109932.61994701959,ASIA
BITCOIN,2025-11-02 02:01:56.081000+00:00,109953.55798231489,109953.55798231489,109953.55798231489,109953.55798231489,ASIA
BITCOIN,2025-11-02 03:04:44.302000+00:00,109967.13702875398,109967.13702875398,109967.13702875398,109967.13702875398,ASIA
BITCOIN,2025-11-02 04:01:03.966000+00:00,110006.75161801101,110006.75161801101,110006.75161801101,110006.75161801101,ASIA
BITCOIN,2025-11-02 05:01:20.129000+00:00,110505.72505906872,110505.72505906872,110505.72505906872,110505.72505906872,ASIA
BITCOIN,2025-11-02 06:01:19.654000+00:00,110444.5484553532,110444.5484553532,110444.5484553532,110444.5484553532,ASIA
BITCOIN,2025-11-02 07:01:52.707000+00:00,110658.13518089944,110658.13518089944,110658.13518089944,110658.13518089944,ASIA
BITCOIN,2025-11-02 08:00:54.136000+00:00,110883.20944824758,110883.20944824758,110883.20944824758,110883.20944824758,EUROPE
BITCOIN,2025-11-02 09:02:01.768000+00:00,110778.32348894267,110778.32348894267,110778.32348894267,110778.32348894267,EUROPE
BITCOIN,2025-11-02 10:00:13.238000+00:00,110596.23194748371,110596.23194748371,110596.23194748371,110596.23194748371,EUROPE
BITCOIN,2025-11-02 11:01:34.946000+00:00,110391.52172986242,110391.52172986242,110391.52172986242,110391.52172986242,EUROPE
BITCOIN,2025-11-02 12:01:55.141000+00:00,111057.64793364429,111057.64793364429,111057.64793364429,111057.64793364429,EUROPE
BITCOIN,2025-11-02 13:03:13.784000+00:00,110688.82532962412,110688.82532962412,110688.82532962412,110688.82532962412,EUROPE
BITCOIN,2025-11-02 14:01:57.990000+00:00,110481.94435751066,110481.94435751066,110481.94435751066,110481.94435751066,EUROPE
BITCOIN,2025-11-02 15:00:44.665000+00:00,110372.81685863339,110372.81685863339,110372.81685863339,110372.81685863339,EUROPE
BITCOIN,2025-11-02 16:02:11.952000+00:00,110211.2339874412,110211.2339874412,110211.2339874412,110211.2339874412,US
BITCOIN,2025-11-02 17:02:12.188000+00:00,110052.69360433816,110052.69360433816,110052.69360433816,110052.69360433816,US
BITCOIN,2025-11-02 18:01:27.577000+00:00,110076.2963719595,110076.2963719595,110076.2963719595,110076.2963719595,US
BITCOIN,2025-11-02 19:01:44.763000+00:00,110290.60648211652,110290.60648211652,110290.60648211652,110290.60648211652,US
BITCOIN,2025-11-02 20:06:02.570000+00:00,110153.50675474871,110153.50675474871,110153.50675474871,110153.50675474871,US
BITCOIN,2025-11-02 21:01:51.877000+00:00,110059.12871605546,110059.12871605546,110059.12871605546,110059.12871605546,US
BITCOIN,2025-11-02 22:01:23.229000+00:00,110024.17454330286,110024.17454330286,110024.17454330286,110024.17454330286,US
BITCOIN,2025-11-02 23:01:24.645000+00:00,109715.8643029032,109715.8643029032,109715.8643029032,109715.8643029032,US
BITCOIN,2025-11-03 00:01:44.627000+00:00,110650.2092823146,110650.2092823146,110650.2092823146,110650.2092823146,ASIA
BITCOIN,2025-11-03 01:01:14.193000+00:00,110018.317867804,110018.317867804,110018.317867804,110018.317867804,ASIA
BITCOIN,2025-11-03 02:01:27.898000+00:00,109635.30840416232,109635.30840416232,109635.30840416232,109635.30840416232,ASIA
BITCOIN,2025-11-03 03:02:01.852000+00:00,108986.50138920068,108986.50138920068,108986.50138920068,108986.50138920068,ASIA
BITCOIN,2025-11-03 04:01:26.325000+00:00,107960.96906385706,107960.96906385706,107960.96906385706,107960.96906385706,ASIA
BITCOIN,2025-11-03 05:01:39.212000+00:00,107936.88490722963,107936.88490722963,107936.88490722963,107936.88490722963,ASIA
BITCOIN,2025-11-03 06:01:17.472000+00:00,107571.49051149774,107571.49051149774,107571.49051149774,107571.49051149774,ASIA
BITCOIN,2025-11-03 07:00:18.060000+00:00,107421.10889005783,107421.10889005783,107421.10889005783,107421.10889005783,ASIA
BITCOIN,2025-11-03 08:01:07.947000+00:00,107533.41546387474,107533.41546387474,107533.41546387474,107533.41546387474,EUROPE
BITCOIN,2025-11-03 09:02:03.684000+00:00,107485.27763737425,107485.27763737425,107485.27763737425,107485.27763737425,EUROPE
BITCOIN,2025-11-03 10:01:55.288000+00:00,107098.27941759853,107098.27941759853,107098.27941759853,107098.27941759853,EUROPE
BITCOIN,2025-11-03 11:00:06.921000+00:00,107221.82336402568,107221.82336402568,107221.82336402568,107221.82336402568,EUROPE
BITCOIN,2025-11-03 12:01:52.745000+00:00,107778.50595672156,107778.50595672156,107778.50595672156,107778.50595672156,EUROPE
BITCOIN,2025-11-03 13:01:44.854000+00:00,107819.07564597504,107819.07564597504,107819.07564597504,107819.07564597504,EUROPE
BITCOIN,2025-11-03 14:01:59.347000+00:00,107993.55839394528,107993.55839394528,107993.55839394528,107993.55839394528,EUROPE
BITCOIN,2025-11-03 15:01:14.313000+00:00,108030.11548756582,108030.11548756582,108030.11548756582,108030.11548756582,EUROPE
BITCOIN,2025-11-03 16:00:35.420000+00:00,105802.32388987354,105802.32388987354,105802.32388987354,105802.32388987354,US
BITCOIN,2025-11-03 17:02:30.929000+00:00,106575.48692061796,106575.48692061796,106575.48692061796,106575.48692061796,US
BITCOIN,2025-11-03 18:07:39.623000+00:00,107516.83881123543,107516.83881123543,107516.83881123543,107516.83881123543,US
BITCOIN,2025-11-03 19:01:06.835000+00:00,106990.1568862012,106990.1568862012,106990.1568862012,106990.1568862012,US
BITCOIN,2025-11-03 20:01:48.619000+00:00,107144.57701710037,107144.57701710037,107144.57701710037,107144.57701710037,US
BITCOIN,2025-11-03 21:01:53.862000+00:00,106434.31724984784,106434.31724984784,106434.31724984784,106434.31724984784,US
BITCOIN,2025-11-03 22:03:55.506000+00:00,106767.96027114005,106767.96027114005,106767.96027114005,106767.96027114005,US
BITCOIN,2025-11-03 23:00:57.330000+00:00,106436.50508904329,106436.50508904329,106436.50508904329,106436.50508904329,US
BITCOIN,2025-11-04 00:01:38.487000+00:00,106521.08673825761,106521.08673825761,106521.08673825761,106521.08673825761,ASIA
BITCOIN,2025-11-04 01:01:55.679000+00:00,106525.49363967453,106525.49363967453,106525.49363967453,106525.49363967453,ASIA
BITCOIN,2025-11-04 02:01:00.940000+00:00,107031.07828710617,107031.07828710617,107031.07828710617,107031.07828710617,ASIA
BITCOIN,2025-11-04 03:01:47.529000+00:00,106544.91673767386,106544.91673767386,106544.91673767386,106544.91673767386,ASIA
BITCOIN,2025-11-04 04:26:48.458000+00:00,107006.67993352086,107006.67993352086,107006.67993352086,107006.67993352086,ASIA
BITCOIN,2025-11-04 05:01:37.525000+00:00,106740.9220707469,106740.9220707469,106740.9220707469,106740.9220707469,ASIA
BITCOIN,2025-11-04 06:02:01.088000+00:00,104495.10034240519,104495.10034240519,104495.10034240519,104495.10034240519,ASIA
BITCOIN,2025-11-04 07:01:56.269000+00:00,104662.08300822478,104662.08300822478,104662.08300822478,104662.08300822478,ASIA
BITCOIN,2025-11-04 08:01:58.132000+00:00,104499.67618718465,104499.67618718465,104499.67618718465,104499.67618718465,EUROPE
BITCOIN,2025-11-04 09:01:30.230000+00:00,103968.27278517361,103968.27278517361,103968.27278517361,103968.27278517361,EUROPE
BITCOIN,2025-11-04 10:02:07.065000+00:00,103683.17783465057,103683.17783465057,103683.17783465057,103683.17783465057,EUROPE
BITCOIN,2025-11-04 11:13:13.466000+00:00,103878.8890681683,103878.8890681683,103878.8890681683,103878.8890681683,EUROPE
BITCOIN,2025-11-04 12:00:43.574000+00:00,104515.63087759502,104515.63087759502,104515.63087759502,104515.63087759502,EUROPE
BITCOIN,2025-11-04 13:00:38.525000+00:00,103921.77781269916,103921.77781269916,103921.77781269916,103921.77781269916,EUROPE
BITCOIN,2025-11-04 14:01:40.901000+00:00,103986.98190866993,103986.98190866993,103986.98190866993,103986.98190866993,EUROPE
BITCOIN,2025-11-04 15:01:59.450000+00:00,104493.56809229,104493.56809229,104493.56809229,104493.56809229,EUROPE
BITCOIN,2025-11-04 16:01:40.017000+00:00,103688.15994227816,103688.15994227816,103688.15994227816,103688.15994227816,US
BITCOIN,2025-11-04 17:00:42.394000+00:00,102197.51890859473,102197.51890859473,102197.51890859473,102197.51890859473,US
BITCOIN,2025-11-04 18:01:57.735000+00:00,101087.14972322472,101087.14972322472,101087.14972322472,101087.14972322472,US
BITCOIN,2025-11-04 19:06:11.540000+00:00,101323.61811871242,101323.61811871242,101323.61811871242,101323.61811871242,US
BITCOIN,2025-11-04 20:01:43.898000+00:00,100646.68432249104,100646.68432249104,100646.68432249104,100646.68432249104,US
BITCOIN,2025-11-04 21:01:52.514000+00:00,100636.32354832368,100636.32354832368,100636.32354832368,100636.32354832368,US
BITCOIN,2025-11-04 22:02:01.029000+00:00,99607.01075510254,99607.01075510254,99607.01075510254,99607.01075510254,US
BITCOIN,2025-11-04 23:00:56.959000+00:00,101168.08182774446,101168.08182774446,101168.08182774446,101168.08182774446,US
BITCOIN,2025-11-05 00:00:52.526000+00:00,101480.76659609629,101480.76659609629,101480.76659609629,101480.76659609629,ASIA
BITCOIN,2025-11-05 01:01:44.676000+00:00,100597.77032324848,100597.77032324848,100597.77032324848,100597.77032324848,ASIA
BITCOIN,2025-11-05 02:01:46.013000+00:00,100550.26711207266,100550.26711207266,100550.26711207266,100550.26711207266,ASIA
BITCOIN,2025-11-05 03:01:38.146000+00:00,101388.76296014924,101388.76296014924,101388.76296014924,101388.76296014924,ASIA
BITCOIN,2025-11-05 04:04:39.108000+00:00,102128.211157246,102128.211157246,102128.211157246,102128.211157246,ASIA
BITCOIN,2025-11-05 05:01:18.089000+00:00,101969.69331492866,101969.69331492866,101969.69331492866,101969.69331492866,ASIA
BITCOIN,2025-11-05 06:02:06.285000+00:00,101772.01348925575,101772.01348925575,101772.01348925575,101772.01348925575,ASIA
BITCOIN,2025-11-05 07:02:09.056000+00:00,102033.240675827,102033.240675827,102033.240675827,102033.240675827,ASIA
BITCOIN,2025-11-05 08:01:53.306000+00:00,101999.4559589914,101999.4559589914,101999.4559589914,101999.4559589914,EUROPE
BITCOIN,2025-11-05 09:00:25.088000+00:00,101773.61102518206,101773.61102518206,101773.61102518206,101773.61102518206,EUROPE
BITCOIN,2025-11-05 10:01:49.493000+00:00,101933.7303540105,101933.7303540105,101933.7303540105,101933.7303540105,EUROPE
BITCOIN,2025-11-05 11:00:48.719000+00:00,101387.2583128507,101387.2583128507,101387.2583128507,101387.2583128507,EUROPE
BITCOIN,2025-11-05 12:01:07.820000+00:00,102042.61664345585,102042.61664345585,102042.61664345585,102042.61664345585,EUROPE
BITCOIN,2025-11-05 13:01:13.683000+00:00,102637.53102512867,102637.53102512867,102637.53102512867,102637.53102512867,EUROPE
BITCOIN,2025-11-05 14:02:09.769000+00:00,103178.71392918345,103178.71392918345,103178.71392918345,103178.71392918345,EUROPE
BITCOIN,2025-11-05 15:01:43.467000+00:00,103254.86103548636,103254.86103548636,103254.86103548636,103254.86103548636,EUROPE
BITCOIN,2025-11-05 16:02:01.452000+00:00,103656.46567931224,103656.46567931224,103656.46567931224,103656.46567931224,US
BITCOIN,2025-11-05 17:01:30.271000+00:00,103925.91690514336,103925.91690514336,103925.91690514336,103925.91690514336,US
BITCOIN,2025-11-05 18:05:51.605000+00:00,103800.78962815827,103800.78962815827,103800.78962815827,103800.78962815827,US
BITCOIN,2025-11-05 19:01:38.377000+00:00,104346.43586243482,104346.43586243482,104346.43586243482,104346.43586243482,US
BITCOIN,2025-11-05 20:00:50.209000+00:00,104037.50946331791,104037.50946331791,104037.50946331791,104037.50946331791,US
BITCOIN,2025-11-05 21:01:59.103000+00:00,103880.5646805363,103880.5646805363,103880.5646805363,103880.5646805363,US
BITCOIN,2025-11-05 22:00:25.195000+00:00,103664.70414009251,103664.70414009251,103664.70414009251,103664.70414009251,US
BITCOIN,2025-11-05 23:01:43.827000+00:00,103731.59710288851,103731.59710288851,103731.59710288851,103731.59710288851,US
BITCOIN,2025-11-06 00:00:22.183000+00:00,103877.95965955159,103877.95965955159,103877.95965955159,103877.95965955159,ASIA
BITCOIN,2025-11-06 01:01:34.036000+00:00,103639.47702996855,103639.47702996855,103639.47702996855,103639.47702996855,ASIA
BITCOIN,2025-11-06 02:01:39.070000+00:00,103412.82979594373,103412.82979594373,103412.82979594373,103412.82979594373,ASIA
BITCOIN,2025-11-06 03:01:20.840000+00:00,103356.79597853754,103356.79597853754,103356.79597853754,103356.79597853754,ASIA
BITCOIN,2025-11-06 04:00:21.415000+00:00,103654.67019229465,103654.67019229465,103654.67019229465,103654.67019229465,ASIA
BITCOIN,2025-11-06 05:02:08.846000+00:00,103932.89522342409,103932.89522342409,103932.89522342409,103932.89522342409,ASIA
BITCOIN,2025-11-06 06:01:43.199000+00:00,103108.69042491789,103108.69042491789,103108.69042491789,103108.69042491789,ASIA
BITCOIN,2025-11-06 07:01:38.160000+00:00,103321.41575225303,103321.41575225303,103321.41575225303,103321.41575225303,ASIA
BITCOIN,2025-11-06 08:01:40.055000+00:00,103076.45602196058,103076.45602196058,103076.45602196058,103076.45602196058,EUROPE
BITCOIN,2025-11-06 09:01:37.212000+00:00,103153.12828697833,103153.12828697833,103153.12828697833,103153.12828697833,EUROPE
BITCOIN,2025-11-06 10:01:33.155000+00:00,102934.65773328801,102934.65773328801,102934.65773328801,102934.65773328801,EUROPE
BITCOIN,2025-11-06 11:01:51.373000+00:00,103157.23179932697,103157.23179932697,103157.23179932697,103157.23179932697,EUROPE
BITCOIN,2025-11-06 12:02:14.683000+00:00,103173.53022259961,103173.53022259961,103173.53022259961,103173.53022259961,EUROPE
BITCOIN,2025-11-06 13:01:43.126000+00:00,102491.2141849583,102491.2141849583,102491.2141849583,102491.2141849583,EUROPE
BITCOIN,2025-11-06 14:01:48.140000+00:00,103357.38932054461,103357.38932054461,103357.38932054461,103357.38932054461,EUROPE
BITCOIN,2025-11-06 15:01:44.281000+00:00,102154.94026040785,102154.94026040785,102154.94026040785,102154.94026040785,EUROPE
BITCOIN,2025-11-06 16:00:00.233000+00:00,102005.61693405536,102005.61693405536,102005.61693405536,102005.61693405536,US
BITCOIN,2025-11-06 17:01:51.829000+00:00,100982.74301592483,100982.74301592483,100982.74301592483,100982.74301592483,US
BITCOIN,2025-11-06 18:01:15.007000+00:00,101734.8589507412,101734.8589507412,101734.8589507412,101734.8589507412,US
BITCOIN,2025-11-06 19:02:10.807000+00:00,101999.13845655147,101999.13845655147,101999.13845655147,101999.13845655147,US
BITCOIN,2025-11-06 20:02:04.605000+00:00,101276.82758684293,101276.82758684293,101276.82758684293,101276.82758684293,US
BITCOIN,2025-11-06 21:01:44.036000+00:00,100899.81657202521,100899.81657202521,100899.81657202521,100899.81657202521,US
BITCOIN,2025-11-06 22:06:31.279000+00:00,101057.8584929035,101057.8584929035,101057.8584929035,101057.8584929035,US
BITCOIN,2025-11-06 23:01:21.529000+00:00,101313.84894808239,101313.84894808239,101313.84894808239,101313.84894808239,US
BITCOIN,2025-11-07 00:01:40.592000+00:00,101322.6402945857,101322.6402945857,101322.6402945857,101322.6402945857,ASIA
BITCOIN,2025-11-07 01:01:31.937000+00:00,101458.11927364433,101458.11927364433,101458.11927364433,101458.11927364433,ASIA
BITCOIN,2025-11-07 02:01:43.477000+00:00,101185.58654734504,101185.58654734504,101185.58654734504,101185.58654734504,ASIA
BITCOIN,2025-11-07 03:01:44.627000+00:00,101743.90791378342,101743.90791378342,101743.90791378342,101743.90791378342,ASIA
BITCOIN,2025-11-07 04:01:24.359000+00:00,101900.48469435416,101900.48469435416,101900.48469435416,101900.48469435416,ASIA
BITCOIN,2025-11-07 05:06:44.740000+00:00,101992.14307285684,101992.14307285684,101992.14307285684,101992.14307285684,ASIA
BITCOIN,2025-11-07 06:01:18.377000+00:00,102379.79412139188,102379.79412139188,102379.79412139188,102379.79412139188,ASIA
BITCOIN,2025-11-07 07:01:09.891000+00:00,101828.44391191726,101828.44391191726,101828.44391191726,101828.44391191726,ASIA
BITCOIN,2025-11-07 08:01:45.580000+00:00,101944.91052873195,101944.91052873195,101944.91052873195,101944.91052873195,EUROPE
BITCOIN,2025-11-07 09:00:29.941000+00:00,101442.58822995886,101442.58822995886,101442.58822995886,101442.58822995886,EUROPE
BITCOIN,2025-11-07 10:01:46.531000+00:00,100843.76636135658,100843.76636135658,100843.76636135658,100843.76636135658,EUROPE
BITCOIN,2025-11-07 11:01:45.904000+00:00,100653.82067494563,100653.82067494563,100653.82067494563,100653.82067494563,EUROPE
BITCOIN,2025-11-07 12:01:17.548000+00:00,100379.85016954866,100379.85016954866,100379.85016954866,100379.85016954866,EUROPE
BITCOIN,2025-11-07 13:01:45.927000+00:00,99376.95023489367,99376.95023489367,99376.95023489367,99376.95023489367,EUROPE
BITCOIN,2025-11-07 14:02:13.451000+00:00,100349.33961029815,100349.33961029815,100349.33961029815,100349.33961029815,EUROPE
BITCOIN,2025-11-07 15:02:02.593000+00:00,100576.81553428677,100576.81553428677,100576.81553428677,100576.81553428677,EUROPE
BITCOIN,2025-11-07 16:01:14.958000+00:00,100870.55029636277,100870.55029636277,100870.55029636277,100870.55029636277,US
BITCOIN,2025-11-07 17:02:23.707000+00:00,101051.07699155441,101051.07699155441,101051.07699155441,101051.07699155441,US
BITCOIN,2025-11-07 18:01:29.126000+00:00,101941.67780129392,101941.67780129392,101941.67780129392,101941.67780129392,US
BITCOIN,2025-11-07 19:01:41.731000+00:00,102500.57328926233,102500.57328926233,102500.57328926233,102500.57328926233,US
BITCOIN,2025-11-07 20:02:02.974000+00:00,103155.89162341185,103155.89162341185,103155.89162341185,103155.89162341185,US
BITCOIN,2025-11-07 21:01:41.024000+00:00,103697.33774117324,103697.33774117324,103697.33774117324,103697.33774117324,US
BITCOIN,2025-11-07 22:01:58.938000+00:00,103654.14505829246,103654.14505829246,103654.14505829246,103654.14505829246,US
BITCOIN,2025-11-07 23:01:50.796000+00:00,103679.45665090723,103679.45665090723,103679.45665090723,103679.45665090723,US
BITCOIN,2025-11-08 00:01:19.318000+00:00,103396.084215925,103396.084215925,103396.084215925,103396.084215925,ASIA
BITCOIN,2025-11-08 01:02:05.385000+00:00,102715.4539446828,102715.4539446828,102715.4539446828,102715.4539446828,ASIA
BITCOIN,2025-11-08 02:01:48.794000+00:00,102982.31416998322,102982.31416998322,102982.31416998322,102982.31416998322,ASIA
BITCOIN,2025-11-08 03:01:43.352000+00:00,102760.76725917646,102760.76725917646,102760.76725917646,102760.76725917646,ASIA
BITCOIN,2025-11-08 04:05:59.275000+00:00,102634.83000856158,102634.83000856158,102634.83000856158,102634.83000856158,ASIA
BITCOIN,2025-11-08 05:01:37.599000+00:00,102449.98562373393,102449.98562373393,102449.98562373393,102449.98562373393,ASIA
BITCOIN,2025-11-08 06:06:09.462000+00:00,102243.34448259883,102243.34448259883,102243.34448259883,102243.34448259883,ASIA
BITCOIN,2025-11-08 07:02:05.538000+00:00,102202.7848106458,102202.7848106458,102202.7848106458,102202.7848106458,ASIA
BITCOIN,2025-11-08 08:01:29.807000+00:00,102297.36217714153,102297.36217714153,102297.36217714153,102297.36217714153,EUROPE
BITCOIN,2025-11-08 09:01:23.821000+00:00,102438.90703081318,102438.90703081318,102438.90703081318,102438.90703081318,EUROPE
BITCOIN,2025-11-08 10:01:26.879000+00:00,102289.86488673152,102289.86488673152,102289.86488673152,102289.86488673152,EUROPE
BITCOIN,2025-11-08 11:01:04.587000+00:00,102451.7651944155,102451.7651944155,102451.7651944155,102451.7651944155,EUROPE
BITCOIN,2025-11-08 12:02:10.440000+00:00,101759.0034350087,101759.0034350087,101759.0034350087,101759.0034350087,EUROPE
BITCOIN,2025-11-08 13:03:35.656000+00:00,101992.14515181544,101992.14515181544,101992.14515181544,101992.14515181544,EUROPE
BITCOIN,2025-11-08 14:01:16.565000+00:00,101892.91438922462,101892.91438922462,101892.91438922462,101892.91438922462,EUROPE
BITCOIN,2025-11-08 15:02:10.148000+00:00,101849.10009853727,101849.10009853727,101849.10009853727,101849.10009853727,EUROPE
BITCOIN,2025-11-08 16:06:09.019000+00:00,101704.4483335384,101704.4483335384,101704.4483335384,101704.4483335384,US
BITCOIN,2025-11-08 17:02:11.908000+00:00,101711.32218806763,101711.32218806763,101711.32218806763,101711.32218806763,US
BITCOIN,2025-11-08 18:01:18.435000+00:00,101903.11995819483,101903.11995819483,101903.11995819483,101903.11995819483,US
BITCOIN,2025-11-08 19:01:55.780000+00:00,102105.1964717283,102105.1964717283,102105.1964717283,102105.1964717283,US
BITCOIN,2025-11-08 20:07:02.779000+00:00,101999.93243094803,101999.93243094803,101999.93243094803,101999.93243094803,US
BITCOIN,2025-11-08 21:02:45.734000+00:00,102046.14108260717,102046.14108260717,102046.14108260717,102046.14108260717,US
BITCOIN,2025-11-08 22:01:49.541000+00:00,102262.98727253689,102262.98727253689,102262.98727253689,102262.98727253689,US
BITCOIN,2025-11-08 23:01:41.165000+00:00,102371.4061315383,102371.4061315383,102371.4061315383,102371.4061315383,US
BITCOIN,2025-11-09 00:01:15.550000+00:00,102290.13714655167,102290.13714655167,102290.13714655167,102290.13714655167,ASIA
BITCOIN,2025-11-09 01:02:49.338000+00:00,101773.3793240841,101773.3793240841,101773.3793240841,101773.3793240841,ASIA
BITCOIN,2025-11-09 02:02:13.919000+00:00,102009.72966218833,102009.72966218833,102009.72966218833,102009.72966218833,ASIA
BITCOIN,2025-11-09 03:01:50.991000+00:00,101712.74816529531,101712.74816529531,101712.74816529531,101712.74816529531,ASIA
BITCOIN,2025-11-09 04:04:02.487000+00:00,101645.1231585367,101645.1231585367,101645.1231585367,101645.1231585367,ASIA
BITCOIN,2025-11-09 05:03:30.232000+00:00,101688.26449602528,101688.26449602528,101688.26449602528,101688.26449602528,ASIA
BITCOIN,2025-11-09 06:04:34.672000+00:00,101855.41775064683,101855.41775064683,101855.41775064683,101855.41775064683,ASIA
BITCOIN,2025-11-09 07:01:09.675000+00:00,101744.83607202943,101744.83607202943,101744.83607202943,101744.83607202943,ASIA
BITCOIN,2025-11-09 08:09:18.768000+00:00,101900.23463623768,101900.23463623768,101900.23463623768,101900.23463623768,EUROPE
BITCOIN,2025-11-09 09:02:08.427000+00:00,101984.64073315987,101984.64073315987,101984.64073315987,101984.64073315987,EUROPE
BITCOIN,2025-11-09 10:01:20.180000+00:00,101646.14999346313,101646.14999346313,101646.14999346313,101646.14999346313,EUROPE
BITCOIN,2025-11-09 11:02:32.833000+00:00,101819.95347249864,101819.95347249864,101819.95347249864,101819.95347249864,EUROPE
BITCOIN,2025-11-09 12:02:38.736000+00:00,102223.9911944868,102223.9911944868,102223.9911944868,102223.9911944868,EUROPE
BITCOIN,2025-11-09 13:01:12.055000+00:00,102061.25518361686,102061.25518361686,102061.25518361686,102061.25518361686,EUROPE
BITCOIN,2025-11-09 14:06:29.482000+00:00,102806.15548240683,102806.15548240683,102806.15548240683,102806.15548240683,EUROPE
BITCOIN,2025-11-09 15:01:07.351000+00:00,103002.90480594612,103002.90480594612,103002.90480594612,103002.90480594612,EUROPE
BITCOIN,2025-11-09 16:00:15.404000+00:00,103771.93748139605,103771.93748139605,103771.93748139605,103771.93748139605,US
BITCOIN,2025-11-09 17:00:15.912000+00:00,103808.8719909636,103808.8719909636,103808.8719909636,103808.8719909636,US
BITCOIN,2025-11-09 18:02:48.849000+00:00,103590.01135878728,103590.01135878728,103590.01135878728,103590.01135878728,US
BITCOIN,2025-11-09 19:01:16.940000+00:00,104475.7039602516,104475.7039602516,104475.7039602516,104475.7039602516,US
