as_of_date,fng_value,classification
2025-11-15,10,EXTREME FEAR
2025-11-14,16,EXTREME FEAR
2025-11-13,15,EXTREME FEAR
2025-11-12,24,EXTREME FEAR
2025-11-11,26,FEAR
2025-11-10,29,FEAR
2025-11-09,22,EXTREME FEAR
